epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1293.5,1.98207,4.50303,2.87654,2.18576,0.18653,0.09635,0.07638,0.02381,0.14325,0.04501,0.03196,0.00859,2.35849,4.8067,3.51908,2.63409,0.0008417,0.0008417,0.0008417
119,1304.01,1.95557,4.38667,2.74137,2.16021,0.18653,0.09635,0.07638,0.02381,0.14325,0.04501,0.03196,0.00859,2.35849,4.8067,3.51908,2.63409,0.0008318,0.0008318,0.0008318
120,1314.43,1.94645,4.47141,2.78564,2.15455,0.10824,0.1182,0.0714,0.02179,0.1402,0.04257,0.02749,0.00767,2.32988,4.77503,3.29277,2.62018,0.0008219,0.0008219,0.0008219
121,1325.05,1.9962,4.36184,2.83626,2.16433,0.18496,0.09972,0.06315,0.01974,0.13726,0.04582,0.02906,0.00807,2.38433,4.75079,3.5696,2.68074,0.000812,0.000812,0.000812
122,1335.69,2.09312,4.37286,2.78961,2.21981,0.2734,0.11144,0.06857,0.02141,0.21635,0.05519,0.02835,0.00863,2.4209,4.7149,3.68056,2.69855,0.0008021,0.0008021,0.0008021
123,1346.26,1.97445,4.36708,2.75991,2.15004,0.26205,0.11332,0.07189,0.02078,0.22064,0.07388,0.03254,0.01006,2.43799,4.68589,3.65817,2.72704,0.0007922,0.0007922,0.0007922
124,1356.7,1.99009,4.45105,2.85335,2.20923,0.274,0.12339,0.06982,0.02141,0.2175,0.05966,0.03396,0.01065,2.44084,4.70577,3.75293,2.73521,0.0007823,0.0007823,0.0007823
125,1367.33,2.02947,4.34614,2.87591,2.21301,0.27195,0.13935,0.06721,0.0215,0.21764,0.07273,0.03247,0.00959,2.44603,4.65377,3.66874,2.72459,0.0007724,0.0007724,0.0007724
126,1377.79,2.03029,4.38603,2.80154,2.1571,0.25666,0.11939,0.07048,0.02255,0.48708,0.0328,0.02666,0.00801,2.43613,4.64479,3.5608,2.7077,0.0007625,0.0007625,0.0007625
127,1388.5,2.03822,4.48274,2.79015,2.16931,0.43946,0.1131,0.0702,0.02299,0.59134,0.03463,0.02832,0.007,2.40481,4.67487,3.67455,2.69254,0.0007526,0.0007526,0.0007526
128,1399.16,1.9959,4.45035,2.8342,2.19404,0.43946,0.1131,0.0702,0.02299,0.59134,0.03463,0.02832,0.007,2.40481,4.67487,3.67455,2.69254,0.0007427,0.0007427,0.0007427
